player_id,player_name,position
4,Tommy Setford,GK
613,Tomáš Souček,MID
232,Tosin Adarabioyo,DEF
637,Toti Gomes,DEF
532,Trai Hume,DEF
710,Travis Patterson,DEF
226,Trevoh Chalobah,DEF
396,Trey Nyoni,MID
701,Triston Rowe,DEF
85,Tyler Adams,MID
707,Tyler Dibling,MID
771,Tyler Fletcher,MID
446,Tyler Fredricson,DEF
395,Tyler Morton,MID
704,Tyler Onyango,MID
775,Tymur Tutierov,MID
448,Tyrell Malacia,DEF
258,Tyrick Mitchell,DEF
243,Tyrique George,MID
40,Tyrone Mings,DEF
791,Valentín Castellanos,FWD
721,Veljko Milosavljevic,DEF
719,Victor Lindelöf,DEF
666,Viktor Gyökeres,FWD
373,Virgil van Dijk,DEF
292,Vitalii Mykolenko,DEF
125,Vitaly Janelt,MID
412,Vitor de Oliveira Nunes dos Reis,DEF
185,Václav Hladký,GK
254,Walter Benítez,GK
760,Wellity Lucky,DEF
601,Wes Foderingham,GK
230,Wesley Fofana,DEF
351,Wilfried Gnonto,MID
68,Will Dennis,GK
270,Will Hughes,MID
598,Will Lankshear,FWD
500,William Osula,FWD
6,William Saliba,DEF
514,Willy Boly,DEF
560,Wilson Isidor,FWD
588,Wilson Odobert,MID
717,Xavi Simons,MID
594,Yang Min-hyeok,MID
160,Yankuba Minteh,MID
166,Yasin Ayari,MID
46,Yasin Özcan,DEF
129,Yehor Yarmoliuk,MID
634,Yerson Mosquera Valdelamar,DEF
135,Yoane Wissa,FWD
48,Youri Tielemans,MID
312,Youssef Ramalho Chermiti,FWD
131,Yunus Emre Konak,MID
751,Yusuf Akhamrich,MID
587,Yves Bissouma,MID
712,Yéremy Pino Santos,MID
513,Zach Abbott,DEF
286,Zach Marsh,FWD
95,Zain Silcott-Duberry,MID
538,Zak Johnson,DEF
216,Zeki Amdouni,FWD
215,Zian Flemming,FWD
65,Zépiqueno Redmond,FWD
713,Álex Jiménez Sánchez,DEF
43,Álex Moreno Lopera,DEF
368,Ármin Pécsi,GK
67,Đorđe Petrović,GK
420,İlkay Gündoğan,MID
